127.0.0.1 - - [04/Sep/2025:00:51:52 +0000] "GET /login HTTP/1.1" 200 5355 "-" "Wget/1.24.5"
127.0.0.1 - - [05/Sep/2025:20:31:08 +0000] "GET /login HTTP/1.1" 200 5355 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:31:08 +0000] "POST /login HTTP/1.1" 302 189 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:31:08 +0000] "GET / HTTP/1.1" 200 10388 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:31:08 +0000] "GET / HTTP/1.1" 200 10315 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:31:08 +0000] "POST / HTTP/1.1" 500 265 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:32:03 +0000] "GET /login HTTP/1.1" 200 5355 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:32:03 +0000] "POST /login HTTP/1.1" 302 189 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:32:03 +0000] "GET / HTTP/1.1" 200 10388 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:32:03 +0000] "GET / HTTP/1.1" 200 10315 "-" "python-requests/2.32.3"
127.0.0.1 - - [05/Sep/2025:20:32:03 +0000] "POST / HTTP/1.1" 500 265 "-" "python-requests/2.32.3"
