,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9592326139088729,1.0,1.0
recall,0.9445,1.0,0.645,0.9445
f1,0.9714579583440472,0.9791921664626683,0.78419452887538,0.9714579583440472
accuracy,0.97225,0.97875,0.8225,0.97225
specificity,1.0,0.9575,1.0,1.0
sensitivity,0.9445,1.0,0.645,0.9445
avg_detection_time,2.7327418327331543e-05,7.843625545501709e-05,7.891088724136352e-05,0.00019292211532592773
true_negatives,2000.0,1915.0,2000.0,2000.0
false_positives,0.0,85.0,0.0,0.0
false_negatives,111.0,0.0,710.0,111.0
true_positives,1889.0,2000.0,1290.0,1889.0
