metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.97706,0.97706,0.82401,0.97706
avg_detection_time,0.0001369730842113495,0.00010549649238586425,0.00010581555008888245,0.00037576356410980226
f1,0.9775744422937808,0.9775744422937808,0.786422494872635,0.9775744422937808
false_negatives,0,0,35198,0
false_positives,4588,4588,0,4588
precision,0.9561326347190883,0.9561326347190883,1.0,0.9561326347190883
recall,1.0,1.0,0.64802,1.0
sensitivity,1.0,1.0,0.64802,1.0
specificity,0.95412,0.95412,1.0,0.95412
true_negatives,95412,95412,100000,95412
true_positives,100000,100000,64802,100000
