,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9592326139088729,1.0,1.0
recall,0.9445,1.0,0.6455,0.9445
f1,0.9714579583440472,0.9791921664626683,0.7845639623214828,0.9714579583440472
accuracy,0.97225,0.97875,0.82275,0.97225
specificity,1.0,0.9575,1.0,1.0
sensitivity,0.9445,1.0,0.6455,0.9445
avg_detection_time,2.761441469192505e-05,6.72745704650879e-05,6.790888309478759e-05,0.00017031335830688477
true_negatives,2000.0,1915.0,2000.0,2000.0
false_positives,0.0,85.0,0.0,0.0
false_negatives,111.0,0.0,709.0,111.0
true_positives,1889.0,2000.0,1291.0,1889.0
