,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.045,0.0,0.0552,0.0414
precision,1.0,0.0,1.0,1.0
recall,0.09019843656043296,0.0,0.1106434155141311,0.08298256163559832
f1,0.16547159404302264,0.0,0.19924201407688144,0.1532481954469739
specificity,0.0,0.0,0.0,0.0
sensitivity,0.09019843656043296,0.0,0.1106434155141311,0.08298256163559832
avg_detection_time,2.9999999999999997e-05,8e-05,0.1,0.101
true_positives,450.0,0.0,552.0,414.0
false_positives,0.0,0.0,0.0,0.0
true_negatives,0.0,0.0,0.0,0.0
false_negatives,4539.0,4989.0,4437.0,4575.0
