,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.590375,0.5995,0.58725,0.591625
precision,0.7395069953364424,1.0,0.7259114583333334,0.7547169811320755
recall,0.2777777777777778,0.1981981981981982,0.27902902902902904,0.2702702702702703
f1,0.403856649081317,0.33082706766917297,0.4031091829356472,0.3980099502487562
specificity,0.9023476523476524,1.0,0.8948551448551448,0.9123376623376623
sensitivity,0.2777777777777778,0.1981981981981982,0.27902902902902904,0.2702702702702703
avg_detection_time,3e-05,8e-05,0.1,0.101
true_positives,1110.0,792.0,1115.0,1080.0
false_positives,391.0,0.0,421.0,351.0
true_negatives,3613.0,4004.0,3583.0,3653.0
false_negatives,2886.0,3204.0,2881.0,2916.0
