metric,value,details
collusion_detection_rate,0.9164882226980728,
false_positive_rate,0.0,
tamper_resistance,1.0,
latency_ms,15.119007874352008,
throughput_rpm,6617.722018445081,
total_entries,6498,
sample_size,1000,
attack_distribution,"{'jailbreaking': 17, 'none': 3249, 'role_playing': 8, 'obfuscation': 61, 'data_leakage': 18, 'code_execution': 146, 'expanded_6k': 2999}","{""jailbreaking"": 17, ""none"": 3249, ""role_playing"": 8, ""obfuscation"": 61, ""data_leakage"": 18, ""code_execution"": 146, ""expanded_6k"": 2999}"
label_distribution,"{'malicious': 3249, 'benign': 3249}","{""malicious"": 3249, ""benign"": 3249}"
context_distribution,"{'Direct attempt to bypass LLM safeguards': 1, 'Simple arithmetic query': 1, 'Redefines persona with destructive command': 1, 'Legitimate summarization request': 1, 'Base64-encoded destructive command': 1, 'Simple translation task': 1, 'SQL-like attempt to extract sensitive data': 1, 'Creative writing task': 2, 'French-language jailbreaking attempt': 1, 'Factual query': 92, 'Unicode-encoded destructive command': 1, 'Educational query': 2, 'Persona change with system command': 1, 'Currency conversion task': 1, 'Attempts to access model internals': 2, ""Hex-encoded 'rm -rf /' command"": 1, 'Coding task': 13, 'Direct attempt to access sensitive data': 1, 'Basic math query': 1, 'Attempts privilege escalation': 1, 'Translation task': 1, 'Python code to run malicious command': 1, 'Scientific query': 11, 'Chinese-language jailbreaking attempt': 1, 'Utility task': 2, 'Hides malicious command in code review': 1, 'Time query': 1, 'Windows-specific destructive command': 1, 'Attempts to access sensitive system file': 1, 'Math problem': 1, 'Chained commands for privilege escalation': 1, 'Base64-encoded DDoS command': 1, 'Explanatory task': 1, 'Attempts to access model data': 1, 'Unit conversion': 3, 'Fork bomb to crash system': 1, 'Descriptive query': 5, 'Malicious persona request': 1, 'Informational query': 5, 'Python code to delete filesystem': 1, 'Italian-language jailbreaking attempt': 1, 'Technical task': 5, 'Downloads and runs malicious script': 1, 'Explanatory query': 5, 'Attempts to extract credentials': 1, 'Windows command to add malicious user': 1, 'Python code to leak environment variables': 1, 'Creative task': 5, 'Destructive command to wipe disk': 1, 'Attempts system file modification': 1, 'Hex-encoded Python command to read /etc/passwd': 1, 'Hides malicious command in summarization': 1, 'Command to make all files writable': 1, 'Flood ping to cause DoS': 1, 'Python code to reboot system': 1, 'Attempts to access SSH private key': 1, 'Command to kill all processes': 1, 'Downloads malicious file': 1, 'Attempts to access session data': 1, 'Netcat reverse shell attempt': 1, 'Attempts to create network backdoor': 1, 'Python code to open malicious port': 1, 'Base64-encoded ZIP with malicious script': 1, 'Bash TCP backdoor attempt': 1, 'Attempts to access process environment': 1, 'Perl command to delete files': 1, 'Attempts to access model details': 1, 'Ruby command to shut down system': 1, 'Chained command hiding malicious intent': 1, 'Attempts to access system memory': 1, 'URL-encoded command hidden in debug request': 1, 'Sentiment analysis task': 1, ""Morse code for 'HACK CAT ETC XL' to access /etc/passwd"": 1, 'JSON-based command execution attempt': 1, 'Emoji-wrapped command to hide malicious intent': 1, 'Arabic-language jailbreaking attempt': 1, ""Base64-encoded 'rm -rf /' in JavaScript"": 1, 'Malicious script hidden in code review': 1, 'Web development task': 3, 'Python attempt to access internal functions': 1, 'Historical query': 1, 'Leetspeak-disguised netcat backdoor': 1, 'Russian-language jailbreaking attempt': 1, ""JavaScript charcode-encoded 'rm -rf /'"": 1, 'Scripting task': 4, 'Hypothetical phrasing to bypass restrictions': 1, 'Nested Python reboot command': 1, 'Cybersecurity query': 1, 'Server-Side Include (SSI) command injection': 1, 'Malicious translation request': 1, 'C-based fork bomb': 1, 'Culinary query': 1, 'Python attempt to dump main module': 1, 'Technical query': 47, 'Emoji-encoded command with alien emojis': 1, 'JavaScript payload in pentest request': 1, 'DevOps task': 10, 'Japanese-language jailbreaking attempt': 1, 'PowerShell malicious download': 1, 'Networking query': 3, ""Python hex-to-string for 'cat /etc/shadow'"": 1, 'Malicious persona to manipulate system': 1, 'Database task': 1, 'Ruby fork bomb': 1, 'Attempts sandbox escape': 1, 'XSS-style JavaScript injection': 1, ""Python ASCII array for 'sh -c whoami'"": 1, 'Attempts to extract session data': 1, 'Bash infinite loop for DoS': 1, 'Markdown-based JavaScript injection': 1, 'Perl-based reverse shell': 1, 'Python module manipulation': 1, 'Python subprocess command': 1, 'Template engine command injection': 1, 'Leetspeak-disguised script download': 1, 'Python file access attempt': 1, 'Node.js command execution': 1, 'Cat emoji-encoded command': 1, 'Lua command execution': 1, 'Python source code access attempt': 1, 'Bash TCP connection for C2': 1, ""Binary-encoded 'sh whoami' in Python"": 1, 'PHP command execution': 1, 'Data formatting task': 11, 'Python subprocess file access': 1, 'Groovy command execution': 1, 'Python fork bomb': 1, 'Python popen command execution': 1, 'Formatting task': 6, 'R language command execution': 1, 'VBScript command execution': 1, 'Python ctypes command execution': 1, 'Scala command execution': 1, 'Pirate emoji-encoded command': 1, 'Python pickle-based execution': 1, 'Tcl command execution': 1, 'Markdown script injection': 1, 'Python threaded command execution': 1, 'Haskell command execution': 1, 'Python exec command': 1, 'Python signal handler exploit': 1, 'Erlang command execution': 1, 'JavaScript cookie theft': 1, 'Python asyncio command execution': 1, 'Kotlin command execution': 1, 'Rocket emoji-encoded command': 1, 'Python marshal exploit': 1, 'Elixir command execution': 1, 'Python spawn command': 1, 'Python fork and command execution': 1, 'Dart command execution': 1, 'Markdown image-based injection': 1, 'Python interactive shell exploit': 1, 'OCaml command execution': 1, 'Python execvp command': 1, 'Python platform module exploit': 1, 'F# command execution': 1, 'Snake emoji-encoded command': 1, 'Python dynamic function exploit': 1, 'COBOL command execution': 1, 'Python forkpty command': 1, 'Python disassembly to analyze code': 1, 'Lisp command execution': 1, 'Python popen2 command': 1, 'Python warnings bypass attempt': 1, 'Fortran command execution': 1, 'Python startfile command': 1, 'Python weakref exploit': 1, 'D language command execution': 1, 'Dragon emoji-encoded command': 1, 'Python atexit exploit': 1, 'Crystal command execution': 1, 'Python spawnve command': 1, 'Python functools exploit': 1, 'Nim command execution': 1, 'Python execvpe command': 1, 'Python operator exploit': 1, 'Ada command execution': 1, 'Python execlp command': 1, 'Python contextlib suppress exploit': 1, 'Swift command execution': 1, 'Python spawnlp command': 1, 'SQL injection hidden in query optimization task': 1, 'ROT13-encoded command to run whoami': 1, ""Caesar cipher (shift -3) for 'sh who' command"": 1, 'Explicit sandbox escape attempt': 1, 'German-language jailbreaking attempt': 1, ""ASCII art-encoded 'whoami' command"": 1, 'JavaScript POST with command injection': 1, 'Obfuscated Python system call': 1, 'Bash command with hidden malicious curl': 1, 'Spanish-language jailbreaking attempt': 1, 'Python builtins eval exploit': 1, 'Database query': 1, ""Base64-decoded 'whoami' in bash"": 1, 'Malicious persona to steal data': 1, 'JavaScript Function constructor exploit': 1, 'Python sys module exploit': 1, 'Python fork bomb with whoami': 1, ""Caesar cipher (shift +1) for 'whoami'"": 1, 'Malicious API call in test request': 1, 'Silent whoami with hidden curl': 1, 'Korean-language jailbreaking attempt': 1, ""Hex-encoded 'whoami' in Node.js"": 1, 'Python direct dict system call': 1, 'Command with file write to persist data': 1, 'Python import-based system call': 1, 'JavaScript new Function exploit': 1, 'Python getattr system call': 1, 'Bash TCP redirect for C2': 1, 'Python conditional system call': 1, 'Hex dump of whoami output': 1, 'Hebrew-language jailbreaking attempt': 1, ""ASCII array for 'whoami' in Node.js"": 1, 'Python system call via __call__': 1, 'Double base64 encoding of whoami': 1, 'Python boolean system call': 1, ""URL-decoded 'whoami' in JavaScript"": 1, 'Python conditional main exploit': 1, 'Gzip compression of whoami output': 1, 'Python lambda system call': 1, 'UUencode of whoami output': 1, 'Node.js spawnSync command': 1, 'Python trivial conditional exploit': 1, 'Hex dump via od for whoami': 1, 'Python nested exec system call': 1, 'ROT13 via tr command': 1, ""JavaScript codepoint 'whoami'"": 1, 'Python boolean or exploit': 1, 'Hexdump of whoami output': 1, 'Python lambda wrapper exploit': 1, 'Triple base64 encoding of whoami': 1, 'Node.js execFile command': 1, 'Python boolean and exploit': 1, 'Zstd compression of whoami output': 1, 'Python identity lambda exploit': 1, 'Reverse hex dump of whoami': 1, ""JavaScript spread charcode 'whoami'"": 1, 'Python getattribute exploit': 1, 'Bzip2 compression of whoami output': 1, 'Python conditional lambda exploit': 1, 'Tar archive of whoami output': 1, 'Node.js spawn command': 1, 'Python numeric conditional exploit': 1, 'XZ compression of whoami output': 1, 'Python conditional lambda with argument': 1, 'LZ4 compression of whoami output': 1, ""JavaScript mapped charcode 'whoami'"": 1, 'Python empty string conditional exploit': 1, 'LZMA compression of whoami output': 1, 'Python conditional lambda with True': 1, 'Zstd double compression of whoami': 1, 'Node.js fork command': 1, 'Python None conditional exploit': 1, 'XZ double compression of whoami': 1, 'Python string match lambda exploit': 1, 'LZOP compression of whoami output': 1, ""JavaScript mapped charcode join 'whoami'"": 1, 'Python empty list conditional exploit': 1, 'LZ4 double compression of whoami': 1, 'Python isinstance lambda exploit': 1, 'Triple zstd compression of whoami': 1, 'Node.js execSync with encoding': 1, 'Python empty dict conditional exploit': 1, 'Double gzip compression of whoami': 1, 'Python length check lambda exploit': 1, 'Double bzip2 compression of whoami': 1, ""JavaScript charcode roundtrip 'whoami'"": 1, 'Python empty set conditional exploit': 1, 'Double LZMA compression of whoami': 1, 'Python startswith lambda exploit': 1, 'Quadruple XZ compression of whoami': 1, 'Node.js execSync with stdio': 1, 'Python empty tuple conditional exploit': 1, 'Quadruple zstd compression of whoami': 1, 'Python substring lambda exploit': 1, 'Triple LZ4 compression of whoami': 1, ""JavaScript reduce charcode 'whoami'"": 1, 'Python zero conditional exploit': 1, 'Quadruple gzip compression of whoami': 1, 'Python endswith lambda exploit': 1, 'Quadruple bzip2 compression of whoami': 1, 'Node.js execSync with timeout': 1, 'Generated for 6K dataset expansion': 5999}","{""Direct attempt to bypass LLM safeguards"": 1, ""Simple arithmetic query"": 1, ""Redefines persona with destructive command"": 1, ""Legitimate summarization request"": 1, ""Base64-encoded destructive command"": 1, ""Simple translation task"": 1, ""SQL-like attempt to extract sensitive data"": 1, ""Creative writing task"": 2, ""French-language jailbreaking attempt"": 1, ""Factual query"": 92, ""Unicode-encoded destructive command"": 1, ""Educational query"": 2, ""Persona change with system command"": 1, ""Currency conversion task"": 1, ""Attempts to access model internals"": 2, ""Hex-encoded 'rm -rf /' command"": 1, ""Coding task"": 13, ""Direct attempt to access sensitive data"": 1, ""Basic math query"": 1, ""Attempts privilege escalation"": 1, ""Translation task"": 1, ""Python code to run malicious command"": 1, ""Scientific query"": 11, ""Chinese-language jailbreaking attempt"": 1, ""Utility task"": 2, ""Hides malicious command in code review"": 1, ""Time query"": 1, ""Windows-specific destructive command"": 1, ""Attempts to access sensitive system file"": 1, ""Math problem"": 1, ""Chained commands for privilege escalation"": 1, ""Base64-encoded DDoS command"": 1, ""Explanatory task"": 1, ""Attempts to access model data"": 1, ""Unit conversion"": 3, ""Fork bomb to crash system"": 1, ""Descriptive query"": 5, ""Malicious persona request"": 1, ""Informational query"": 5, ""Python code to delete filesystem"": 1, ""Italian-language jailbreaking attempt"": 1, ""Technical task"": 5, ""Downloads and runs malicious script"": 1, ""Explanatory query"": 5, ""Attempts to extract credentials"": 1, ""Windows command to add malicious user"": 1, ""Python code to leak environment variables"": 1, ""Creative task"": 5, ""Destructive command to wipe disk"": 1, ""Attempts system file modification"": 1, ""Hex-encoded Python command to read /etc/passwd"": 1, ""Hides malicious command in summarization"": 1, ""Command to make all files writable"": 1, ""Flood ping to cause DoS"": 1, ""Python code to reboot system"": 1, ""Attempts to access SSH private key"": 1, ""Command to kill all processes"": 1, ""Downloads malicious file"": 1, ""Attempts to access session data"": 1, ""Netcat reverse shell attempt"": 1, ""Attempts to create network backdoor"": 1, ""Python code to open malicious port"": 1, ""Base64-encoded ZIP with malicious script"": 1, ""Bash TCP backdoor attempt"": 1, ""Attempts to access process environment"": 1, ""Perl command to delete files"": 1, ""Attempts to access model details"": 1, ""Ruby command to shut down system"": 1, ""Chained command hiding malicious intent"": 1, ""Attempts to access system memory"": 1, ""URL-encoded command hidden in debug request"": 1, ""Sentiment analysis task"": 1, ""Morse code for 'HACK CAT ETC XL' to access /etc/passwd"": 1, ""JSON-based command execution attempt"": 1, ""Emoji-wrapped command to hide malicious intent"": 1, ""Arabic-language jailbreaking attempt"": 1, ""Base64-encoded 'rm -rf /' in JavaScript"": 1, ""Malicious script hidden in code review"": 1, ""Web development task"": 3, ""Python attempt to access internal functions"": 1, ""Historical query"": 1, ""Leetspeak-disguised netcat backdoor"": 1, ""Russian-language jailbreaking attempt"": 1, ""JavaScript charcode-encoded 'rm -rf /'"": 1, ""Scripting task"": 4, ""Hypothetical phrasing to bypass restrictions"": 1, ""Nested Python reboot command"": 1, ""Cybersecurity query"": 1, ""Server-Side Include (SSI) command injection"": 1, ""Malicious translation request"": 1, ""C-based fork bomb"": 1, ""Culinary query"": 1, ""Python attempt to dump main module"": 1, ""Technical query"": 47, ""Emoji-encoded command with alien emojis"": 1, ""JavaScript payload in pentest request"": 1, ""DevOps task"": 10, ""Japanese-language jailbreaking attempt"": 1, ""PowerShell malicious download"": 1, ""Networking query"": 3, ""Python hex-to-string for 'cat /etc/shadow'"": 1, ""Malicious persona to manipulate system"": 1, ""Database task"": 1, ""Ruby fork bomb"": 1, ""Attempts sandbox escape"": 1, ""XSS-style JavaScript injection"": 1, ""Python ASCII array for 'sh -c whoami'"": 1, ""Attempts to extract session data"": 1, ""Bash infinite loop for DoS"": 1, ""Markdown-based JavaScript injection"": 1, ""Perl-based reverse shell"": 1, ""Python module manipulation"": 1, ""Python subprocess command"": 1, ""Template engine command injection"": 1, ""Leetspeak-disguised script download"": 1, ""Python file access attempt"": 1, ""Node.js command execution"": 1, ""Cat emoji-encoded command"": 1, ""Lua command execution"": 1, ""Python source code access attempt"": 1, ""Bash TCP connection for C2"": 1, ""Binary-encoded 'sh whoami' in Python"": 1, ""PHP command execution"": 1, ""Data formatting task"": 11, ""Python subprocess file access"": 1, ""Groovy command execution"": 1, ""Python fork bomb"": 1, ""Python popen command execution"": 1, ""Formatting task"": 6, ""R language command execution"": 1, ""VBScript command execution"": 1, ""Python ctypes command execution"": 1, ""Scala command execution"": 1, ""Pirate emoji-encoded command"": 1, ""Python pickle-based execution"": 1, ""Tcl command execution"": 1, ""Markdown script injection"": 1, ""Python threaded command execution"": 1, ""Haskell command execution"": 1, ""Python exec command"": 1, ""Python signal handler exploit"": 1, ""Erlang command execution"": 1, ""JavaScript cookie theft"": 1, ""Python asyncio command execution"": 1, ""Kotlin command execution"": 1, ""Rocket emoji-encoded command"": 1, ""Python marshal exploit"": 1, ""Elixir command execution"": 1, ""Python spawn command"": 1, ""Python fork and command execution"": 1, ""Dart command execution"": 1, ""Markdown image-based injection"": 1, ""Python interactive shell exploit"": 1, ""OCaml command execution"": 1, ""Python execvp command"": 1, ""Python platform module exploit"": 1, ""F# command execution"": 1, ""Snake emoji-encoded command"": 1, ""Python dynamic function exploit"": 1, ""COBOL command execution"": 1, ""Python forkpty command"": 1, ""Python disassembly to analyze code"": 1, ""Lisp command execution"": 1, ""Python popen2 command"": 1, ""Python warnings bypass attempt"": 1, ""Fortran command execution"": 1, ""Python startfile command"": 1, ""Python weakref exploit"": 1, ""D language command execution"": 1, ""Dragon emoji-encoded command"": 1, ""Python atexit exploit"": 1, ""Crystal command execution"": 1, ""Python spawnve command"": 1, ""Python functools exploit"": 1, ""Nim command execution"": 1, ""Python execvpe command"": 1, ""Python operator exploit"": 1, ""Ada command execution"": 1, ""Python execlp command"": 1, ""Python contextlib suppress exploit"": 1, ""Swift command execution"": 1, ""Python spawnlp command"": 1, ""SQL injection hidden in query optimization task"": 1, ""ROT13-encoded command to run whoami"": 1, ""Caesar cipher (shift -3) for 'sh who' command"": 1, ""Explicit sandbox escape attempt"": 1, ""German-language jailbreaking attempt"": 1, ""ASCII art-encoded 'whoami' command"": 1, ""JavaScript POST with command injection"": 1, ""Obfuscated Python system call"": 1, ""Bash command with hidden malicious curl"": 1, ""Spanish-language jailbreaking attempt"": 1, ""Python builtins eval exploit"": 1, ""Database query"": 1, ""Base64-decoded 'whoami' in bash"": 1, ""Malicious persona to steal data"": 1, ""JavaScript Function constructor exploit"": 1, ""Python sys module exploit"": 1, ""Python fork bomb with whoami"": 1, ""Caesar cipher (shift +1) for 'whoami'"": 1, ""Malicious API call in test request"": 1, ""Silent whoami with hidden curl"": 1, ""Korean-language jailbreaking attempt"": 1, ""Hex-encoded 'whoami' in Node.js"": 1, ""Python direct dict system call"": 1, ""Command with file write to persist data"": 1, ""Python import-based system call"": 1, ""JavaScript new Function exploit"": 1, ""Python getattr system call"": 1, ""Bash TCP redirect for C2"": 1, ""Python conditional system call"": 1, ""Hex dump of whoami output"": 1, ""Hebrew-language jailbreaking attempt"": 1, ""ASCII array for 'whoami' in Node.js"": 1, ""Python system call via __call__"": 1, ""Double base64 encoding of whoami"": 1, ""Python boolean system call"": 1, ""URL-decoded 'whoami' in JavaScript"": 1, ""Python conditional main exploit"": 1, ""Gzip compression of whoami output"": 1, ""Python lambda system call"": 1, ""UUencode of whoami output"": 1, ""Node.js spawnSync command"": 1, ""Python trivial conditional exploit"": 1, ""Hex dump via od for whoami"": 1, ""Python nested exec system call"": 1, ""ROT13 via tr command"": 1, ""JavaScript codepoint 'whoami'"": 1, ""Python boolean or exploit"": 1, ""Hexdump of whoami output"": 1, ""Python lambda wrapper exploit"": 1, ""Triple base64 encoding of whoami"": 1, ""Node.js execFile command"": 1, ""Python boolean and exploit"": 1, ""Zstd compression of whoami output"": 1, ""Python identity lambda exploit"": 1, ""Reverse hex dump of whoami"": 1, ""JavaScript spread charcode 'whoami'"": 1, ""Python getattribute exploit"": 1, ""Bzip2 compression of whoami output"": 1, ""Python conditional lambda exploit"": 1, ""Tar archive of whoami output"": 1, ""Node.js spawn command"": 1, ""Python numeric conditional exploit"": 1, ""XZ compression of whoami output"": 1, ""Python conditional lambda with argument"": 1, ""LZ4 compression of whoami output"": 1, ""JavaScript mapped charcode 'whoami'"": 1, ""Python empty string conditional exploit"": 1, ""LZMA compression of whoami output"": 1, ""Python conditional lambda with True"": 1, ""Zstd double compression of whoami"": 1, ""Node.js fork command"": 1, ""Python None conditional exploit"": 1, ""XZ double compression of whoami"": 1, ""Python string match lambda exploit"": 1, ""LZOP compression of whoami output"": 1, ""JavaScript mapped charcode join 'whoami'"": 1, ""Python empty list conditional exploit"": 1, ""LZ4 double compression of whoami"": 1, ""Python isinstance lambda exploit"": 1, ""Triple zstd compression of whoami"": 1, ""Node.js execSync with encoding"": 1, ""Python empty dict conditional exploit"": 1, ""Double gzip compression of whoami"": 1, ""Python length check lambda exploit"": 1, ""Double bzip2 compression of whoami"": 1, ""JavaScript charcode roundtrip 'whoami'"": 1, ""Python empty set conditional exploit"": 1, ""Double LZMA compression of whoami"": 1, ""Python startswith lambda exploit"": 1, ""Quadruple XZ compression of whoami"": 1, ""Node.js execSync with stdio"": 1, ""Python empty tuple conditional exploit"": 1, ""Quadruple zstd compression of whoami"": 1, ""Python substring lambda exploit"": 1, ""Triple LZ4 compression of whoami"": 1, ""JavaScript reduce charcode 'whoami'"": 1, ""Python zero conditional exploit"": 1, ""Quadruple gzip compression of whoami"": 1, ""Python endswith lambda exploit"": 1, ""Quadruple bzip2 compression of whoami"": 1, ""Node.js execSync with timeout"": 1, ""Generated for 6K dataset expansion"": 5999}"
