,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,1.0,1.0,1.0
recall,0.9791666666666666,1.0,0.7083333333333334,0.9791666666666666
f1,0.9894736842105264,1.0,0.8292682926829268,0.9894736842105264
accuracy,0.989247311827957,1.0,0.8494623655913979,0.989247311827957
specificity,1.0,1.0,1.0,1.0
sensitivity,0.9791666666666666,1.0,0.7083333333333334,0.9791666666666666
avg_detection_time,2.940752172982821e-05,9.966922062699513e-05,6.94208247687227e-05,0.00017482234585669733
true_negatives,45.0,45.0,45.0,45.0
false_positives,0.0,0.0,0.0,0.0
false_negatives,1.0,0.0,14.0,1.0
true_positives,47.0,48.0,34.0,47.0
