size,method,accuracy,precision,recall,f1,sensitivity,specificity,latency_ms,throughput_sps,tamper_resistance,detection_rate,true_positives,true_negatives,false_positives,false_negatives
4000,ZKP Framework,0.9091869060190074,0.9187935034802784,0.8859060402684564,0.9020501138952164,0.8859060402684564,0.93,0.08786064518542828,11381.660103787292,0.8747203579418344,0.8859060402684564,1584,1860,140,204
4000,Regex Baseline,0.91129883843717,0.9191685912240185,0.8903803131991052,0.9045454545454547,0.8903803131991052,0.93,0.05937113555457046,16843.201509609982,0.8674496644295302,0.8903803131991052,1592,1860,140,196
4000,LLM Simulator,0.8130939809926082,1.0,0.6040268456375839,0.7531380753138075,0.6040268456375839,1.0,0.06723938924835753,14872.235027393965,0.5766219239373602,0.6040268456375839,1080,2000,0,708
4000,Ensemble,0.9350580781414994,0.9231613611416026,0.9407158836689038,0.9318559556786703,0.9407158836689038,0.93,0.22819672869528235,4382.1837662507805,0.918903803131991,0.9407158836689038,1682,1860,140,106
6000,ZKP Framework,0.9073813708260106,0.9170844581565754,0.8840148698884759,0.9002460723074011,0.8840148698884759,0.9283333333333333,0.08828317343874431,11327.186835822737,0.88,0.8840148698884759,2378,2785,215,312
6000,Regex Baseline,0.9077328646748682,0.9171483622350675,0.8847583643122676,0.9006622516556292,0.8847583643122676,0.9283333333333333,0.0589177143385205,16972.824068740196,0.8715,0.8847583643122676,2380,2785,215,310
6000,LLM Simulator,0.8135325131810194,1.0,0.6055762081784387,0.7543412827043298,0.6055762081784387,1.0,0.06611007797697098,15126.286802268538,0.583,0.6055762081784387,1629,3000,0,1061
6000,Ensemble,0.9330404217926186,0.9215041986126323,0.9382899628252788,0.9298213298950083,0.9382899628252788,0.9283333333333333,0.2265464651982688,4414.1055086638435,0.9225,0.9382899628252788,2524,2785,215,166
50000,ZKP Framework,0.9084886215454507,0.9191044363569355,0.8849019781779474,0.9016789822158949,0.8849019781779474,0.92976,0.0899449759918073,11117.908354226318,0.8525,0.8849019781779474,19951,23244,1756,2595
50000,Regex Baseline,0.9066588146216296,0.9187789084181314,0.8810432005677282,0.899515464384368,0.8810432005677282,0.92976,0.0598254123765248,16715.304755548917,0.867,0.8810432005677282,19864,23244,1756,2682
50000,LLM Simulator,0.8142851133639002,1.0,0.608356249445578,0.7564944018531796,0.608356249445578,1.0,0.07250406973464164,13792.329225930487,0.5935,0.608356249445578,13716,25000,0,8830
50000,Ensemble,0.9347158541202204,0.9234991722575586,0.9402111239244212,0.9317802197802197,0.9402111239244212,0.92976,0.23036593718527343,4340.919548343395,0.93,0.9402111239244212,21198,23244,1756,1348
120000,ZKP Framework,0.9098764456387155,0.9193976459727672,0.8872988473745754,0.9030631039075118,0.8872988473745754,0.93015,0.08918264931661914,11212.943410660157,0.876,0.8872988473745754,47805,55809,4191,6072
120000,Regex Baseline,0.9074966850198021,0.9189753504108265,0.8822688716892181,0.9002481013617166,0.8822688716892181,0.93015,0.06579695586473495,15198.271513590915,0.8655,0.8822688716892181,47534,55809,4191,6343
120000,LLM Simulator,0.8162491108827946,1.0,0.6116153460660393,0.75900908682583,0.6116153460660393,1.0,0.06683350312841395,14962.555502718438,0.589,0.6116153460660393,32952,60000,0,20925
120000,Ensemble,0.9350439509295116,0.9236083263461048,0.94049408838651,0.9319747284782829,0.94049408838651,0.93015,0.23862748140320528,4190.632169101743,0.934,0.94049408838651,50671,55809,4191,3206
200000,ZKP Framework,0.9096204998551526,0.9196744024939384,0.8864615213399366,0.902762587481937,0.8864615213399366,0.93043,0.09129476184317034,10953.530956330644,0.869,0.8864615213399366,79653,93043,6957,10202
200000,Regex Baseline,0.907397750915172,0.9192811064185269,0.8817650659395693,0.9001323540271411,0.8817650659395693,0.93043,0.06752323838708862,14809.71623824271,0.8705,0.8817650659395693,79231,93043,6957,10624
200000,LLM Simulator,0.814121303099734,1.0,0.6072561348839798,0.7556432627059965,0.6072561348839798,1.0,0.06722698175000766,14874.979866248214,0.5825,0.6072561348839798,54565,100000,0,35290
200000,Ensemble,0.9349240209633668,0.9238956833745379,0.9399254354237383,0.9318416276362754,0.9399254354237383,0.93043,0.235822426755096,4240.478794828578,0.926,0.9399254354237383,84457,93043,6957,5398
