Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9193976459727672,0.9189753504108265,0.0,0.9235707121364092
recall,0.8872988473745754,0.8822688716892181,0.0,0.939992946897563
f1,0.9030631039075118,0.9002481013617166,0.0,0.9317094708955773
accuracy,0.9098764456387155,0.9074966850198021,0.526884269870123,0.9348068530080701
specificity,0.93015,0.93015,1.0,0.93015
sensitivity,0.8872988473745754,0.8822688716892181,0.0,0.939992946897563
avg_detection_time,8.952697518010519e-05,6.060919269273112e-05,6.10696763509179e-08,0.00017280896931824648

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,47805,55809,4191,6072
Regex Baseline,47534,55809,4191,6343
LLM Simulator,0,60000,0,53877
Ensemble,50644,55809,4191,3233
