Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9193976459727672,0.0,1.0,0.919442575684767
recall,0.8872988473745754,0.0,0.6107986710470145,0.8878371104552963
f1,0.9030631039075118,0.0,0.7583799043613528,0.9033634869974128
accuracy,0.9098764456387155,0.526884269870123,0.8158627290848899,0.9101311063691527
specificity,0.93015,1.0,1.0,0.93015
sensitivity,0.8872988473745754,0.0,0.6107986710470145,0.8878371104552963
avg_detection_time,8.979406420207245e-05,6.15470285470168e-08,6.829105199890236e-05,0.0001818069179401622

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,47805,55809,4191,6072
Regex Baseline,0,60000,0,53877
LLM Simulator,32908,60000,0,20969
Ensemble,47834,55809,4191,6043
