Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9193976459727672,0.9189753504108265,1.0,0.9236083263461048
recall,0.8872988473745754,0.8822688716892181,0.6115782244742655,0.94049408838651
f1,0.9030631039075118,0.9002481013617166,0.7589805014569201,0.9319747284782829
accuracy,0.9098764456387155,0.9074966850198021,0.8162315480737989,0.9350439509295116
specificity,0.93015,0.93015,1.0,0.93015
sensitivity,0.8872988473745754,0.8822688716892181,0.6115782244742655,0.94049408838651
avg_detection_time,9.039493965351189e-05,6.0211581343530535e-05,5.7053974031385574e-05,0.00023299648834252366

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,47805,55809,4191,6072
Regex Baseline,47534,55809,4191,6343
LLM Simulator,32950,60000,0,20927
Ensemble,50671,55809,4191,3206
