Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9117758504546986,0.9189753504108265,1.0,0.9235957923905712
recall,0.8039237522504965,0.8822688716892181,0.6110028398017707,0.9403270412235276
f1,0.8544599086613862,0.9002481013617166,0.7585372597815567,0.9318863239216408
accuracy,0.8704303766344389,0.9074966850198021,0.815959324534366,0.9349649182890312
specificity,0.93015,0.93015,1.0,0.93015
sensitivity,0.8039237522504965,0.8822688716892181,0.6110028398017707,0.9403270412235276
avg_detection_time,5.902676597536325e-05,7.20426906206927e-05,6.749906398972476e-05,0.00020284912406304815

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,43313,55809,4191,10564
Regex Baseline,47534,55809,4191,6343
LLM Simulator,32919,60000,0,20958
Ensemble,50662,55809,4191,3215
