Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9098764456387155,0.9074966850198021,0.8162491108827946,0.9350439509295116
precision,0.9193976459727672,0.9189753504108265,1.0,0.9236083263461048
recall,0.8872988473745754,0.8822688716892181,0.6116153460660393,0.94049408838651
f1,0.9030631039075118,0.9002481013617166,0.75900908682583,0.9319747284782829
sensitivity,0.8872988473745754,0.8822688716892181,0.6116153460660393,0.94049408838651
specificity,0.93015,0.93015,1.0,0.93015
latency_ms,0.08918264931661914,0.06579695586473495,0.06683350312841395,0.23862748140320528
tamper_resistance,0.876,0.8655,0.589,0.934
detection_rate,0.8872988473745754,0.8822688716892181,0.6116153460660393,0.94049408838651
throughput_sps,11212.943410660157,15198.271513590915,14962.555502718438,4190.632169101743
true_positives,47805,47534,32952,50671
true_negatives,55809,55809,60000,55809
false_positives,4191,4191,0,4191
false_negatives,6072,6343,20925,3206
