Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9128339903635567,0.9132720105124835,0.8160315374507228,0.9399912395970215
precision,0.926491646778043,0.9265617548879351,1.0,0.9305993690851735
recall,0.888329519450801,0.8892448512585812,0.6155606407322655,0.9450800915331807
f1,0.9070093457943926,0.9075198505371321,0.7620396600566572,0.9377838328792006
sensitivity,0.888329519450801,0.8892448512585812,0.6155606407322655,0.9450800915331807
specificity,0.9353212935741285,0.9353212935741285,1.0,0.9353212935741285
latency_ms,0.08791071565538658,0.05909371052297959,0.06642516015445878,0.2303440425670622
tamper_resistance,0.8705,0.8685,0.6,0.929
detection_rate,0.888329519450801,0.8892448512585812,0.6155606407322655,0.9450800915331807
throughput_sps,11375.177559923854,16922.274657488855,15054.536529150922,4341.33216060433
true_positives,1941,1943,1345,2065
true_negatives,2227,2227,2381,2227
false_positives,154,154,0,154
false_negatives,244,242,840,120
