Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9171483622350675,1.0,0.9215041986126323
recall,0.7014869888475836,0.8847583643122676,0.6055762081784387,0.9382899628252788
f1,0.8245575704610006,0.9006622516556292,0.7543412827043298,0.9298213298950083
accuracy,0.8588752196836555,0.9077328646748682,0.8135325131810194,0.9330404217926186
specificity,1.0,0.9283333333333333,1.0,0.9283333333333333
sensitivity,0.7014869888475836,0.8847583643122676,0.6055762081784387,0.9382899628252788
avg_detection_time,3.0011787146382256e-05,6.411649640289468e-05,7.445137613896536e-05,0.00019281962215376655

Confusion Matrix Data
Method,True Positives,True Negatives,False Positives,False Negatives
ZKP Framework,1887,3000,0,803
Regex Baseline,2380,2785,215,310
LLM Simulator,1629,3000,0,1061
Ensemble,2524,2785,215,166
