,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9604671712320872,1.0,1.0
recall,0.94276,1.0,0.64824,0.94336
f1,0.9705367621322243,0.9798349957867095,0.7865844779886425,0.9708546023382183
accuracy,0.97138,0.97942,0.82412,0.97168
specificity,1.0,0.95884,1.0,1.0
sensitivity,0.94276,1.0,0.64824,0.94336
avg_detection_time,2.6789941787719727e-05,6.695623874664306e-05,0.10022836682319641,0.10038598084449768
true_negatives,25000.0,23971.0,25000.0,25000.0
false_positives,0.0,1029.0,0.0,0.0
false_negatives,1431.0,0.0,8794.0,1416.0
true_positives,23569.0,25000.0,16206.0,23584.0
