,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995906672124437,0.9995731967562953,0.9979674796747967,0.9995906672124437
recall,0.7516158818097877,0.7208371806709757,0.15112342259156664,0.7516158818097877
f1,0.8580463808854533,0.8376251788268956,0.2624966586474205,0.8580463808854533
accuracy,0.8756540473991997,0.8602646968297938,0.5754078177900892,0.8756540473991997
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9996922129886119
sensitivity,0.7516158818097877,0.7208371806709757,0.15112342259156664,0.7516158818097877
avg_detection_time,0.00014348267114650437,0.00010843015003292405,0.10026650822834075,0.10057373716853955
true_negatives,3248.0,3248.0,3248.0,3248.0
false_positives,1.0,1.0,1.0,1.0
false_negatives,807.0,907.0,2758.0,807.0
true_positives,2442.0,2342.0,491.0,2442.0
