,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995906672124437,0.9995731967562953,0.9979591836734694,0.9995906672124437
recall,0.7516158818097877,0.7208371806709757,0.1505078485687904,0.7516158818097877
f1,0.8580463808854533,0.8376251788268956,0.2615672639743247,0.8580463808854533
accuracy,0.8756540473991997,0.8602646968297938,0.5751000307787011,0.8756540473991997
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9996922129886119
sensitivity,0.7516158818097877,0.7208371806709757,0.1505078485687904,0.7516158818097877
avg_detection_time,0.00013637065740686888,0.00010200337873454753,0.00010616704477607819,0.0003511503536028288
true_negatives,3248.0,3248.0,3248.0,3248.0
false_positives,1.0,1.0,1.0,1.0
false_negatives,807.0,907.0,2760.0,807.0
true_positives,2442.0,2342.0,489.0,2442.0
