,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995998399359743,0.9995840266222962,0.9979508196721312,0.9992044550517104
recall,0.7688519544475223,0.739612188365651,0.14989227454601417,0.7731609726069559
f1,0.8691718858733473,0.850168052361578,0.2606368744982607,0.8717681762970674
accuracy,0.8842720837180671,0.8696522006771314,0.574792243767313,0.8862726992920898
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9993844259772238
sensitivity,0.7688519544475223,0.739612188365651,0.14989227454601417,0.7731609726069559
avg_detection_time,0.00014844660613675526,0.00011278992984873876,0.00011713551022009176,0.00038081930394758256
true_negatives,3248.0,3248.0,3248.0,3247.0
false_positives,1.0,1.0,1.0,2.0
false_negatives,751.0,846.0,2762.0,737.0
true_positives,2498.0,2403.0,487.0,2512.0
