,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995998399359743,0.9995840266222962,0.9981566820276497,0.9978501228501229
recall,0.7688519544475223,0.739612188365651,1.0,1.0
f1,0.8691718858733473,0.8501680523615779,0.9990774907749077,0.998923904688701
accuracy,0.8842720837180671,0.8696522006771314,0.9990766389658357,0.9989227454601416
specificity,0.9996922129886119,0.9996922129886119,0.9981532779316713,0.9978454909202832
sensitivity,0.7688519544475223,0.739612188365651,1.0,1.0
avg_detection_time,0.00014958923946860827,0.0001177604325406916,0.00028996362653869084,0.000639040347575114
true_negatives,3248.0,3248.0,3243.0,3242.0
false_positives,1.0,1.0,6.0,7.0
false_negatives,751.0,846.0,0.0,0.0
true_positives,2498.0,2403.0,3249.0,3249.0
