,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9995998399359743,0.9995840266222962,0.9979838709677419,0.9992041384799045
recall,0.7688519544475223,0.739612188365651,0.1523545706371191,0.7728531855955678
f1,0.8691718858733473,0.850168052361578,0.26435246995994655,0.8715723707046165
accuracy,0.8842720837180671,0.8696522006771314,0.5760233918128655,0.8861188057863958
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9993844259772238
sensitivity,0.7688519544475223,0.739612188365651,0.1523545706371191,0.7728531855955678
avg_detection_time,0.00014472613154135693,0.00010959237639666998,0.0001141738069721573,0.0003744617320090376
true_negatives,3248.0,3248.0,3248.0,3247.0
false_positives,1.0,1.0,1.0,2.0
false_negatives,751.0,846.0,2754.0,738.0
true_positives,2498.0,2403.0,495.0,2511.0
