,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9990147783251232,0.999168744804655,0.9979381443298969,0.998551774076756
recall,0.3120960295475531,0.36995998768851956,0.1489689135118498,0.4244382887042167
f1,0.47560975609756095,0.5399820305480684,0.2592394215318693,0.5956803455723542
accuracy,0.6558941212680824,0.6848261003385657,0.5743305632502308,0.7119113573407202
specificity,0.9996922129886119,0.9996922129886119,0.9996922129886119,0.9993844259772238
sensitivity,0.3120960295475531,0.36995998768851956,0.1489689135118498,0.4244382887042167
avg_detection_time,3.431814932830519e-05,8.90120611663377e-05,0.10025971483986133,0.10044150331931027
true_negatives,3248.0,3248.0,3248.0,3247.0
false_positives,1.0,1.0,1.0,2.0
false_negatives,2235.0,2047.0,2765.0,1870.0
true_positives,1014.0,1202.0,484.0,1379.0
