,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.999168744804655,0.9979508196721312,1.0
recall,0.24776854416743613,0.36995998768851956,0.14989227454601417,0.2505386272699292
f1,0.39713862851504683,0.5399820305480684,0.2606368744982607,0.40068914595126753
accuracy,0.6238842720837181,0.6848261003385657,0.574792243767313,0.6252693136349646
specificity,1.0,0.9996922129886119,0.9996922129886119,1.0
sensitivity,0.24776854416743613,0.36995998768851956,0.14989227454601417,0.2505386272699292
avg_detection_time,3.108463862669508e-05,8.728908516510188e-05,0.10025249044137134,0.10043424167938327
true_negatives,3249.0,3248.0,3248.0,3249.0
false_positives,0.0,1.0,1.0,0.0
false_negatives,2444.0,2047.0,2762.0,2435.0
true_positives,805.0,1202.0,487.0,814.0
