metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8991166666666667,0.75225,0.8251333333333334,0.9231833333333334
avg_detection_time,6.620047489802043e-05,3.2302923997243244e-05,3.316699862480163e-05,0.00018532498081525167
f1,0.8877972825180269,0.6706547025589896,0.7880746546012766,0.9167915365312055
false_negatives,12106,29730,20984,9218
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7982333333333334,0.5045,0.6502666666666667,0.8463666666666667
sensitivity,0.7982333333333334,0.5045,0.6502666666666667,0.8463666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,60000,60000,60000,60000
true_positives,47894,30270,39016,50782
