metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.91486,0.91312,0.82414,0.93906
avg_detection_time,9.734350204467773e-05,6.510263442993165e-05,6.564391136169433e-05,0.0002278081226348877
f1,0.9136633743687509,0.9117431938236489,0.7866139248185987,0.9396836708434785
false_negatives,2475,2562,8793,1265
false_positives,1782,1782,0,1782
precision,0.9266877854116098,0.9264244426094137,1.0,0.9301642042559862
recall,0.901,0.89752,0.64828,0.9494
sensitivity,0.901,0.89752,0.64828,0.9494
specificity,0.92872,0.92872,1.0,0.92872
true_negatives,23218,23218,25000,23218
true_positives,22525,22438,16207,23735
