metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.86902,0.75312,0.84026,0.92252
avg_detection_time,6.569521427154541e-05,3.269551753997803e-05,3.2984914779663086e-05,0.00014784335136413574
f1,0.8492784976180066,0.6721903547907372,0.8098921762311666,0.9160126609721199
false_negatives,6549,12344,7987,3874
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.73804,0.50624,0.68052,0.84504
sensitivity,0.73804,0.50624,0.68052,0.84504
specificity,1.0,1.0,1.0,1.0
true_negatives,25000,25000,25000,25000
true_positives,18451,12656,17013,21126
