metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.89752,0.75312,0.82364,0.9225
avg_detection_time,6.711101055145263e-05,3.2399964332580564e-05,3.3856453895568845e-05,0.00015747442245483398
f1,0.8858187004189322,0.6721903547907372,0.7858773250449226,0.9159891598915989
false_negatives,5124,12344,8818,3875
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.79504,0.50624,0.64728,0.845
sensitivity,0.79504,0.50624,0.64728,0.845
specificity,1.0,1.0,1.0,1.0
true_negatives,25000,25000,25000,25000
true_positives,19876,12656,16182,21125
