metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.324,0.075,0.158,0.3545
avg_detection_time,9.407281875610351e-05,4.755961894989014e-05,4.9436330795288086e-05,0.00018768680095672608
f1,0.48942598187311176,0.13953488372093023,0.27288428324697755,0.5234403839055002
false_negatives,1352,1850,1684,1291
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.324,0.075,0.158,0.3545
sensitivity,0.324,0.075,0.158,0.3545
specificity,0,0,0,0
true_negatives,0,0,0,0
true_positives,648,150,316,709
