metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6345,0.5291666666666667,0.5741666666666667,0.6488333333333334
avg_detection_time,8.782645066579183e-05,4.9933075904846195e-05,4.998604456583659e-05,0.00017924626668294272
f1,0.4239558707643814,0.11023622047244094,0.25834542815674894,0.4587721551502697
false_negatives,2193,2825,2555,2107
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.269,0.058333333333333334,0.14833333333333334,0.2976666666666667
sensitivity,0.269,0.058333333333333334,0.14833333333333334,0.2976666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,807,175,445,893
