metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.5728333333333333,0.6488333333333334
avg_detection_time,7.877453168233236e-05,4.030768076578776e-05,4.303137461344401e-05,0.00016006104151407877
f1,0.41143764892772045,0.09523809523809523,0.25429153331393656,0.4587721551502697
false_negatives,2223,2850,2563,2107
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.14566666666666667,0.2976666666666667
sensitivity,0.259,0.05,0.14566666666666667,0.2976666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,437,893
