metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.5791666666666667,0.649
avg_detection_time,7.773466904958089e-05,4.003588358561198e-05,4.197414716084798e-05,0.00015583618481953938
f1,0.41143764892772045,0.09523809523809523,0.2733812949640288,0.4591679506933744
false_negatives,2223,2850,2525,2106
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.15833333333333333,0.298
sensitivity,0.259,0.05,0.15833333333333333,0.298
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,475,894
