,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,0.9523809523809523,0.9,0.95
recall,0.5151515151515151,0.6060606060606061,0.5454545454545454,0.5757575757575758
f1,0.6799999999999999,0.7407407407407407,0.679245283018868,0.7169811320754716
accuracy,0.6666666666666666,0.7083333333333334,0.6458333333333334,0.6875
specificity,1.0,0.9333333333333333,0.8666666666666667,0.9333333333333333
sensitivity,0.5151515151515151,0.6060606060606061,0.5454545454545454,0.5757575757575758
avg_detection_time,2.790490786234538e-05,0.00011446078618367513,0.10020973285039265,0.10036219656467438
true_negatives,15.0,14.0,13.0,14.0
false_positives,0.0,1.0,2.0,1.0
false_negatives,16.0,13.0,15.0,14.0
true_positives,17.0,20.0,18.0,19.0
